Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
,5.4.2.11,Escherichia coli,R35,Phosphoglycerate mutase,R01518,MRL,1 _2_Phospho_D_glycerate,1 _3_Phospho_D_glycerate,Km__2_Phospho_D_glycerate: 0.12161298584652616; Km__3_Phospho_D_glycerate: 0.3368109657309323,Kcat_F: 203.9304987069381; Kcat_R: 213.88922198462063,,,Keq: 6
,1.2.4.1,Escherichia coli,R36,Pyruvate dehydrogenase E1 component,R00209,MRL,1 Pyruvate; 1 NAD; 1 CoA,1 NADH; 1 CO2; 1 AcetylCoA,Km_Pyruvate: 0.11619;  Km_CO2: 0.34274; Km_NAD: 0.02660; Km_CoA: 0.00495; Km_NADH: 0.00564; Km_AcetylCoA: 0.00684,Kcat_F: 24.51429; Kcat_R: 35.74338,NADH;AcetylCoA,NADH_KI: 0.01566;AcetylCoA_KI: 0.03817,Keq: 1000000
,2.7.1.40,Escherichia coli,R37,Pyruvate kinase I,R00200,MRL,1 ATP; 1 Pyruvate,1 ADP; 1 Phosphoenolpyruvate,Km_ATP: 0.3621523464728026; Km_Pyruvate: 0.1831427672641263; Km_ADP: 0.16916684362274623; Km_Phosphoenolpyruvate: 0.1507682744696899,Kcat_F: 152.27817425104092; Kcat_R: 207.97477600824263,ATP;SuccinylCoA,ATP_KI: 0.48725;SuccinylCoA_KI: 0.04931,Keq: 0.000041
,2.7.1.40,Escherichia coli,R38,Pyruvate kinase II,R00200,MRL,1 ATP; 1 Pyruvate,1 ADP; 1 Phosphoenolpyruvate,Km_ATP: 0.3664768706957568; Km_Pyruvate: 0.4128418875405168; Km_ADP: 0.20616269736134743; Km_Phosphoenolpyruvate: 0.2130370537476691,Kcat_F: 29.485537201808626; Kcat_R: 39.082329516277845,,,Keq: 0.000041
,5.3.1.6,Escherichia coli,R39,Ribose-5-phosphate isomerase,R01056,MRL,1 D_ribose_5_phosphate,1 D_Ribulose_5_phosphate,Km_D_ribose_5_phosphate: 4.028904657480324; Km_D_Ribulose_5_phosphate: 2.197201315672294,Kcat_F: 2305.587162341043; Kcat_R: 1499.861073187636,,,Keq: 0.4
,5.1.3.1,Escherichia coli,R40,Ribulose-phosphate 3-epimerase,R01529,MRL,1 D_Ribulose_5_phosphate,1 D_Xylulose_5_phosphate,Km_D_Ribulose_5_phosphate: 0.3156691721019598; Km_D_Xylulose_5_phosphate: 0.31566917417042933,Kcat_F: 122.1503188216861; Kcat_R: 121.83980738084774,,,Keq: 4
,1.3.5.1,Escherichia coli,R41,Succinate dehydrogenase,R02164,MRL,1 Quinone; 1 Succinate,1 Hydroquinone; 1 Fumarate,Km_Quinone: 0.013565296734582998; Km_Succinate: 0.0811023420672203; Km_Hydroquinone: 0.03391276459326971; Km_Fumarate: 0.045386856067389895,Kcat_F: 89.93876386744205; Kcat_R: 26.463273786632296,Oxaloacetate,Oxaloacetate_KI: 0.50601,Keq: 17000
,6.2.1.5,Escherichia coli,R42,Succinyl-CoA ligase,R00405,MRL,1 ATP; 1 Succinate; 1 CoA,1 ADP; 1 Orthophosphate; 1 SuccinylCoA,Km_ATP: 0.3113544305857472; Km_Succinate: 1.7014083338280477; Km_CoA: 0.10710671175986979; Km_ADP: 0.23799220077008534; Km_Orthophosphate: 1.38999133302653; Km_SuccinylCoA: 0.1138719071945647,Kcat_F: 41.75263092193956; Kcat_R: 39.329040970552576,,,Keq: 2
,2.2.1.2,Escherichia coli,R43,Transaldolase,R08575,MRL,1 Sedoheptulose_7_phosphate; 1 D_Glyceraldehyde_3_phosphate,1 D_Erythrose_4_phosphate; 1 D_Fructose_6_phosphate,Km_Sedoheptulose_7_phosphate: 0.5505175349955814; Km_D_Glyceraldehyde_3_phosphate: 0.33525859392287494; Km_D_Erythrose_4_phosphate: 0.2834872329321685; Km_D_Fructose_6_phosphate: 0.4704745226176162,Kcat_F: 10.77132702110828; Kcat_R: 12.326271372364745,,,Keq: 1
,2.2.1.1,Escherichia coli,R44,Transketolase,R01641,MRL,1 Sedoheptulose_7_phosphate; 1 D_Glyceraldehyde_3_phosphate,1 D_ribose_5_phosphate; 1 D_Xylulose_5_phosphate,Km_Sedoheptulose_7_phosphate: 1.0530975649402776; Km_D_Glyceraldehyde_3_phosphate: 0.329475613631669; Km_D_ribose_5_phosphate: 1.4557789546954467; Km_D_Xylulose_5_phosphate: 0.4484237523977484,Kcat_F: 7663.6416326411745; Kcat_R: 5049.159084821575,,,Keq: 0.2
